Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made
Satish Reddy,1.5,India,pharmaceuticals,2035,53,"Hyderabad, India",India,Married,2,"Bachelor of Science in Engineering, Osmania University; Master of Science, Purdue University",FALSE
Vinod Saraf,1.5,India,chemicals,2035,68,"Mumbai, India",India,Married,2,"Master of Business Administration, Birla Institute of Technology and Science (BITS) - Pilani",TRUE
Wang Zhentao & family,1.5,China,vaccine & shoes,2035,55,"Wenzhou, China",China,Married,2,,TRUE
Thomas Wu,1.5,Taiwan,finance,2035,71,"Taipei, Taiwan",Taiwan,Married,2,"Bachelor of Arts/Science, Fu Jen Catholic University; Master of Business Administration, University of California, Los Angeles",FALSE
Yuan Zhimin & family,1.5,China,plastics,2035,60,"Guangzhou, China",China,Married,2,"Master of Science, Bejing Insitute of Technology",TRUE
Anna Maria Braun,1.4,Germany,medical technology,2141,42,"Melsungen, Germany",Germany,Married,2,,FALSE
Chen Zhuolin,1.4,China,real estate,2141,59,"Zhongshan, China",China,Married,2,,TRUE
James Duff,1.4,United States,"tires, diversified",2141,60,"Hattiesburg, Mississippi",United States,Married,2,,TRUE
Lloyd Frink,1.4,United States,Zillow,2141,56,"Seattle, Washington",United States,Married,2,"Bachelor of Arts/Science, Stanford University",TRUE
Balkrishan Goenka,1.4,India,textiles,2141,54,"Mumbai, India",India,Married,2,,TRUE
Huang Hongyun & family,1.4,China,real estate,2141,54,"Chongqing, China",China,Married,2,"EMBA, Chongqing Universtiy",TRUE
Theodore Leonsis,1.4,United States,sports teams,2141,65,"Bethesda, Maryland",United States,Married,2,,TRUE
Anatoly Lomakin,1.4,Russia,investments,2141,68,"Moscow, Russia",Russia,Married,2,"Bachelor of Arts/Science, Moscow Institute of International Relations",TRUE
Nirmal Minda,1.4,India,auto parts,2141,63,"Gurgaon, India",India,Married,2,,FALSE
Jim Thompson,1.4,United States,logistics,2141,81,"Hong Kong, Hong Kong",United States,Married,2,"Bachelor of Arts/Science, San Jose State University",TRUE
Jonathan Tisch,1.4,United States,"insurance, NFL team",2141,67,"New York, New York",United States,Married,2,,FALSE
Jayshree Ullal,1.4,United States,computer networking,2141,60,"Saratoga, California",United States,Married,2,"Bachelor of Arts/Science, San Francisco State University; Master of Science, Santa Clara University",TRUE
Sunny Varkey,1.4,India,education,2141,64,"Dubai, United Arab Emirates",India,Married,2,,FALSE
Sanjay Agarwal,1.3,India,banking,2263,50,"Jaipur, India",India,Married,2,"Chartered Accountant, Institute of Chartered Accountants of India",TRUE
Nerio Alessandri,1.3,Italy,gym equipment,2263,60,"Cesena, Italy",Italy,Married,2,,TRUE
Achal Bakeri,1.3,India,air coolers,2263,61,"Ahmedabad, India",India,Married,2,"Master of Business Administration, Marshall School of Business",TRUE
Othman Benjelloun & family,1.3,Morocco,"banking, insurance",2263,88,"Casablanca, Morocco",Morocco,Married,2,"Diploma, Ecole Polytechnique de Lausanne",FALSE
Pradip Burman,1.3,India,consumer goods,2263,78,"Delhi, India",India,Married,2,"Bachelor of Engineering, Massachusetts Institute of Technology",FALSE
Chang Pyung-soon,1.3,South Korea,educational services,2263,70,"Seoul, South Korea",South Korea,Married,2,"Bachelor of Arts/Science, Yonsei University",TRUE
Cho Jyh-jer,1.3,Taiwan,semiconductors,2263,,,Taiwan,Married,2,,TRUE
Kim Nam-jung,1.3,South Korea,food,2263,48,"Seoul, South Korea",South Korea,Married,2,"Bachelor of Arts/Science, Korea University; Master of Business Administration, University of Michigan, Stephen M. Ross School of Business",FALSE
Mangal Prabhat Lodha,1.3,India,real estate,2263,65,"Mumbai, India",India,Married,2,,TRUE
Brandt Louie,1.3,Canada,drugstores,2263,77,"Vancouver, Canada",Canada,Married,2,,FALSE
Deepak Mehta,1.3,India,chemicals,2263,64,"Vadodara, India",India,Married,2,"Bachelor of Science, Bombay University",FALSE
George Alexander Muthoot,1.3,India,financial services,2263,65,"Ernakulam, India",India,Married,2,"Chartered Accountant, Institute of Chartered Accountants of India; Bachelor of Commerce, University of Kerala",FALSE
George Jacob Muthoot,1.3,India,financial services,2263,68,"Trivandrum, India",India,Married,2,"Bachelor of Science in Engineering, Manipal University",FALSE
George Thomas Muthoot,1.3,India,financial services,2263,70,"Kottayam, India",India,Married,2,,FALSE
Ranjan Pai,1.3,India,education,2263,48,"Bangalore, India",India,Married,2,,FALSE
Ilya Scherbovich,1.3,Russia,investments,2263,46,"Moscow, Russia",Russia,Married,2,"Master of Science, Plekhanov Russian University of Economics",TRUE
Anatoly Sedykh,1.3,Russia,steel pipes,2263,56,"Moscow, Russia",Russia,Married,2,"Bachelor of Science in Engineering, Moscow Institute of Steel and Alloys",TRUE
Radik Shaimiev,1.3,Russia,"refinery, chemicals",2263,56,"Kazan, Russia",Russia,Married,2,"Bachelor of Arts/Science, Kazan Institute of Civil Engineering",TRUE
Shin Chang-jae,1.3,South Korea,insurance,2263,67,"Seoul, South Korea",South Korea,Married,2,"Doctorate, Seoul National University",FALSE
Joop van den Ende,1.3,Netherlands,TV shows,2263,79,"Baarn, Netherlands",Netherlands,Married,2,,TRUE
Yeh Kuo-I,1.3,Taiwan,manufacturing,2263,80,,Taiwan,Married,2,,TRUE
Patrick Zalupski,1.3,United States,homebuilding,2263,40,"Jacksonville, Florida",United States,Married,2,"Bachelor of Science, Stetson University",TRUE
Aras Agalarov,1.2,Russia,real estate,2378,65,"Moscow, Russia",Russia,Married,2,"Bachelor of Arts/Science, Baku Polytechnical Instit",TRUE
Chen Tianqiao,1.2,China,online games,2378,47,"Atherton, California",China,Married,2,"Bachelor of Arts/Science, Fudan University",TRUE
Ronald Clarke,1.2,United States,payments technology,2378,65,"Duluth, Georgia",United States,Married,2,"Bachelor of Arts/Science, Colby College; Master of Business Administration, Cornell University",TRUE
Diego Della Valle,1.2,Italy,shoes,2378,67,"Sant'' Elpidio A Mare, Italy",Italy,Married,2,,FALSE
J. Christopher Flowers,1.2,United States,investments,2378,63,"New York, New York",United States,Married,2,"Bachelor of Arts/Science, Harvard University",TRUE
Premchand Godha,1.2,India,pharmaceuticals,2378,74,"Mumbai, India",India,Married,2,"Chartered Accountant, Institute of Chartered Accountants of India; Bachelor of Commerce, University of Rajasthan",TRUE
Jonas Kamprad,1.2,Sweden,IKEA,2378,55,"London, United Kingdom",Sweden,Married,2,,FALSE
Peter Kamprad,1.2,Sweden,IKEA,2378,57,"Tervuren, Belgium",Sweden,Married,2,,FALSE
Koo Bon-joon,1.2,South Korea,"electronics, household products",2378,69,"Seoul, South Korea",South Korea,Married,2,"Bachelor of Arts/Science, Seoul National University; Master of Business Administration, University of Chicago",FALSE
Koo Bon-neung,1.2,South Korea,electronics,2378,72,"Seoul, South Korea",South Korea,Married,2,"Bachelor of Arts/Science, Korea University",FALSE
Lee Jay-hyun,1.2,South Korea,"food products, entertainment",2378,61,"Seoul, South Korea",South Korea,Married,2,"Bachelor of Arts/Science, Korea University",FALSE
Liu Baolin,1.2,China,pharmacies,2378,67,"Wuhan, China",China,Married,2,,TRUE
Alexander Lutsenko & family,1.2,Russia,agribusiness,2378,59,Kaliningrad,Russia,Married,2,,TRUE
Bill Malhotra,1.2,Canada,real estate,2378,71,"Ottawa, Canada",Canada,Married,2,"Bachelor of Engineering, Birla Institute of Technology and Science (BITS) - Pilani",TRUE
Muneaki Masuda,1.2,Japan,retail,2378,70,"Osaka, Japan",Japan,Married,2,"Bachelor of Arts/Science, Doshisha University",TRUE
Eren Ozmen,1.2,United States,aerospace,2378,62,"Reno, Nevada",United States,Married,2,"Master of Business Administration, University of Nevada at Reno",TRUE
Andrei Rappoport,1.2,Russia,investments,2378,57,"Moscow, Russia",Russia,Married,2,"Bachelor of Arts/Science, Donetsk National University",TRUE
Chris Sacca,1.2,United States,venture capital investing,2378,45,"Truckee, California",United States,Married,2,"Bachelor of Arts/Science, Georgetown University; Doctor of Jurisprudence, Georgetown University",TRUE
Marc Samwer,1.2,Germany,tech investments,2378,50,"Munich, Germany",Germany,Married,2,"LLM, University of Cologne",TRUE
Albert Shigaboutdinov,1.2,Russia,"refinery, chemicals",2378,68,"Kazan, Russia",Russia,Married,2,"Bachelor of Arts/Science, Kazan State Technical University",TRUE
Nik Storonsky,1.2,United Kingdom,fintech,2378,36,"London, United Kingdom",United Kingdom,Married,2,"Master of Science, Moscow Institute of Physics and Technology",TRUE
Rustem Sulteev,1.2,Russia,"refinery, chemicals",2378,67,"Kazan, Russia",Russia,Married,2,"Bachelor of Arts/Science, Kazan Institute of Civil Engineering",TRUE
Nutchamai Thanombooncharoen,1.2,Thailand,energy drinks,2378,59,"Bangkok, Thailand",Thailand,Married,2,"Bachelor of Arts/Economics, Silpakorn University; Master of Arts, Thammasat University",TRUE
Binny Bansal,1.1,India,flipkart,2524,38,"Singapore, Singapore",India,Married,2,"Bachelor of Science in Engineering, Indian Institute of Technology",TRUE
John Bicket,1.1,United States,sensor systems,2524,41,"San Francisco, California",United States,Married,2,"Bachelor of Science, Cornell University; Master of Science, Massachusetts Institute of Technology",TRUE
Weili Dai,1.1,United States,semiconductors,2524,59,"Las Vegas, Nevada",United States,Married,2,"Bachelor of Arts/Science, University of California, Berkeley",TRUE
Anne Gittinger,1.1,United States,Nordstrom department stores,2524,85,"Seattle, Washington",United States,Married,2,"Bachelor of Arts/Science, University of Washington",FALSE
Polys Haji-Ioannou,1.1,Cyprus,EasyJet,2524,61,"Monaco, Monaco",Cyprus,Married,2,,FALSE
Ming Hsieh,1.1,United States,Fulgent Genetics,2524,65,"Los Angeles, California",United States,Married,2,"Bachelor of Arts/Science, University of Southern California; Master of Science, University of Southern California",TRUE
Mohammed Ibrahim,1.1,United Kingdom,communications,2524,75,"London, United Kingdom",United Kingdom,Married,2,"Bachelor of Arts/Science, University of Alexandria; Ph.D, University of Birmingham; Master, University of Bradford",TRUE
Gennady Kozovoy,1.1,Russia,coal,2524,69,"Mezhdurechensk, Russia",Russia,Married,2,"Bachelor of Arts/Science, Irkutsk Polytechnic Institute",TRUE
Eduard Kucera,1.1,Czechia,software,2524,68,"Prague, Czechia",Czechia,Married,2,,TRUE
Lai Guogui & family,1.1,China,machinery,2524,57,"Hangzhou, China",China,Married,2,,TRUE
Lee Ho-jin,1.1,South Korea,diversified,2524,58,"Seoul, South Korea",South Korea,Married,2,"Master of Business Administration, Samuel Curtis Johnson Graduate School of Management; Bachelor of Arts/Science, Seoul National University",FALSE
Low Tuck Kwong,1.1,Indonesia,coal,2524,73,"Jakarta, Indonesia",Indonesia,Married,2,,TRUE
Carsten Maschmeyer,1.1,Germany,finance and investments,2524,61,"Munich, Germany",Germany,Married,2,,TRUE
M.Satyanarayana Reddy,1.1,India,pharmaceuticals,2524,63,"Hyderabad, India",India,Married,2,"Ph.D, Osmania University",TRUE
Neerja Sethi,1.1,United States,"IT consulting, outsourcing",2524,66,"Fisher Island, Florida",United States,Married,2,"Bachelor of Arts/Science, Delhi University; Master of Business Administration, Delhi University; Master of Science, Oakland University",TRUE
Edgar Sia II,1.1,Philippines,fast food,2524,44,"Manila, Philippines",Philippines,Married,2,,TRUE
Michael S. Smith,1.1,United States,liquefied natural gas,2524,65,"Miami Beach, Florida",United States,Married,2,"Drop Out, University of Colorado",TRUE
Sehat Sutardja,1.1,United States,semiconductors,2524,59,"Las Vegas, Nevada",United States,Married,2,"Bachelor of Arts/Science, University of California, Berkeley",TRUE
Carl Thoma,1.1,United States,investments,2524,72,"Chicago, Illinois",United States,Married,2,"Bachelor of Science, Oklahoma State University; Master of Business Administration, Stanford Business School",TRUE
Sunil Vachani,1.1,India,electronics,2524,52,"Delhi, India",India,Married,2,,TRUE
Anne Werninghaus,1.1,Brazil,industrial machinery,2524,35,"Joinville, Brazil",Brazil,Married,2,,FALSE
Igor Yusufov,1.1,Russia,oil & gas,2524,64,"Moscow, Russia",Russia,Married,2,"Bachelor of Engineering, Novocherkassk Polytechnic Institute; Bachelor of Arts/Economics, Russian Foreign Trade Academy",TRUE
Boris Zingarevich,1.1,Russia,"pulp and paper, diversified",2524,61,"Saint Petersburg, Russia",Russia,Married,2,"Master of Science, Leningrad Technological Institute of Pulp and Paper Industry",TRUE
A. Jayson Adair,1,United States,damaged cars,2674,51,"Dallas, Texas",United States,Married,2,,TRUE
Hur Young-in,1,South Korea,"bakeries, fast food",2674,71,"Seoul, South Korea",South Korea,Married,2,"Bachelor of Arts/Economics, Kyung Hee University",FALSE
Ashok Kajaria,1,India,tiles,2674,73,"Delhi, India",India,Married,2,"Bachelor of Science in Engineering, UCLA",TRUE
Lev Kvetnoi,1,Russia,cement,2674,55,"Moscow, Russia",Russia,Married,2,"Bachelor of Arts/Science, Leningrad Institute of Physical Culture",TRUE
Jorge Rodriguez Rodriguez,1,Peru,processed milk,2674,75,"Lima, Peru",Peru,Married,2,,TRUE
Manny Stul,1,Australia,toys,2674,71,"Melbourne, Australia",Australia,Married,2,"High School Graduate, High School",TRUE
Murat Vargi,1,Turkey,telecom,2674,73,"Istanbul, Turkey",Turkey,Married,2,,TRUE
J. Wayne Weaver,1,United States,Shoes,2674,85,"Jacksonville, Florida",United States,Married,2,"Bachelor of Science, University of Florida",TRUE
Sandy Weill,1,United States,Citigroup,2674,88,"Sonoma, California",United States,Married,2,"Bachelor of Arts/Science, Cornell University",TRUE
Farhad Moshiri,2.9,United Kingdom,diversified,1064,65,"Monaco, Monaco",United Kingdom,Separated,2,"Bachelor of Arts/Science, University of London",TRUE
Liora Ofer,1.2,Israel,investments,2378,67,"Tel Aviv, Israel",Israel,Separated,2,,FALSE
Pavel Durov,17.2,Russia,messaging app,112,36,"Dubai, United Arab Emirates",Russia,Single,2,"Master of Science, Saint Petersburg State University",TRUE
Guilherme Benchimol,2.6,Brazil,financial services,1205,44,"Rio de Janeiro, Brazil",Brazil,Single,2,"Bachelor of Arts/Economics, Universidade Federal do Rio de Janeiro",TRUE
John Tyson,2.4,United States,food processing,1299,67,"Springdale, Arkansas",United States,Single,2,"Bachelor of Arts/Science, Southern Methodist University",FALSE
Ion Tiriac,1.7,Romania,"banking, insurance",1833,81,"Bucharest, Romania",Romania,Single,2,,TRUE
Li Ka-shing,33.7,Hong Kong,diversified,43,92,Hong Kong,Hong Kong,Widowed,2,"Drop Out, High School",TRUE
John Fredriksen,10.4,Cyprus,shipping,216,76,"London, United Kingdom",Cyprus,Widowed,2,,TRUE
Massimiliana Landini Aleotti & family,9.1,Italy,pharmaceuticals,256,78,"Fiesole (FI), Italy",Italy,Widowed,2,,FALSE
Chan Tan Ching-fen,8.8,Hong Kong,real estate,269,,"Hong Kong, Hong Kong",Hong Kong,Widowed,2,,FALSE
Benu Gopal Bangur,8.7,India,cement,274,89,"Kolkata, India",India,Widowed,2,"Bachelor of Arts/Science, Calcutta University",FALSE
Dagmar Dolby & family,5.5,United States,Dolby Laboratories,502,79,"San Francisco, California",United States,Widowed,2,"Bachelor of Arts/Science, Heidelberg University",FALSE
Thomas Hagen,4.3,United States,insurance,665,85,"Erie, Pennsylvania",United States,Widowed,2,"Bachelor of Arts/Science, Ohio State University",FALSE
Georg Nemetschek & family,4,Germany,software,727,87,"Munich, Germany",Germany,Widowed,2,,TRUE
Beatriz Davila de Santo Domingo,3.9,Colombia,beer,752,82,Bermuda,Colombia,Widowed,2,,FALSE
Johnelle Hunt,3.9,United States,trucking,752,89,"Fayetteville, Arkansas",United States,Widowed,2,"Drop Out, University of Central Arkansas",TRUE
Rita Tong Liu,3.2,Hong Kong,real estate,956,72,"Hong Kong, Hong Kong",Hong Kong,Widowed,2,,TRUE
Alice Schwartz,2.4,United States,biotech,1299,94,"El Cerrito, California",United States,Widowed,2,"Bachelor of Arts/Science, University of California, Berkeley",TRUE
Nihat Ozdemir,2.3,Turkey,diversified,1362,71,"Ankara, Turkey",Turkey,Widowed,2,,TRUE
Maria Franca Fissolo,2.2,Italy,"Nutella, chocolates",1444,86,"Monaco, Monaco",Italy,Widowed,2,,FALSE
Deniz Sahenk,1.6,Turkey,diversified,1931,75,"Istanbul, Turkey",Turkey,Widowed,2,,FALSE
Esther Grether,1.5,Switzerland,art collection,2035,85,"Basel, Switzerland",Switzerland,Widowed,2,,FALSE
Elena Baturina,1.3,Russia,"investments, real estate",2263,58,"London, United Kingdom",Russia,Widowed,2,"Bachelor of Arts/Science, State University of Management",TRUE
Hemendra Kothari,1.3,India,Financial Services,2263,74,"Mumbai, India",India,Widowed,2,"Bachelor of Arts/Economics, Bombay University",FALSE
Yoshiko Mori,1.3,Japan,real estate,2263,80,"Tokyo, Japan",Japan,Widowed,2,,FALSE
Lily Safra,1.3,Monaco,banking,2263,83,"Geneva, Switzerland",Monaco,Widowed,2,,FALSE
Allan Wong,1.2,Hong Kong,electronics,2378,71,"Hong Kong, Hong Kong",Hong Kong,Widowed,2,"Bachelor of Science in Engineering, University of Hong Kong; Master of Science, University of Wisconsin",TRUE
Norma Lerner,1.1,United States,banking,2524,85,"Cleveland, Ohio",United States,Widowed,2,,FALSE
Vera Rechulski Santo Domingo,1.1,Brazil,beer,2524,72,Bermuda,Brazil,Widowed,2,,FALSE
Leonard Lauder,25.5,United States,Estee Lauder,64,88,"New York, New York",United States,"Widowed, Remarried",2,"Bachelor of Arts/Science, University of Pennsylvania",FALSE
John Arrillaga,2.5,United States,real estate,1249,84,"Portola Valley, California",United States,"Widowed, Remarried",2,"Bachelor of Arts/Science, Stanford University",TRUE
Charles Bronfman,2.5,Canada,liquor,1249,89,"Montreal, Canada",Canada,"Widowed, Remarried",2,"Bachelor of Arts/Science, McGill University",FALSE
Anthony Pratt,10.8,Australia,manufacturing,205,61,"Melbourne, Australia",Australia,Not given,2,"Bachelor of Arts/Economics, Monash University",FALSE
Gianluigi & Rafaela Aponte,10.7,Switzerland,Shipping,208,80,"Geneva, Switzerland",Switzerland,Not given,2,,TRUE
Eli Broad,6.9,United States,investments,380,,,United States,Not given,2,"Broad College of Business; Bachelor of Arts/Science, Michigan State University",TRUE
Richard White,3,Australia,software,1008,66,"Sydney, Australia",Australia,Not given,2,,TRUE
Michael Heine,1.3,Australia,financial services,2263,71,"Melbourne, Australia",Australia,Not given,2,,TRUE
"Cargill MacMillan, III.",1.1,United States,Cargill,2524,61,"Boulder, Colorado",United States,Not given,2,,FALSE
John Martin,1.1,United States,pharmaceuticals,2524,,,United States,Not given,2,,TRUE
Bill Gates,124,United States,Microsoft,4,65,"Medina, Washington",United States,Divorced,3,"Drop Out, Harvard University",TRUE
Jacqueline Mars,31.3,United States,"candy, pet food",48,81,"The Plains, Virginia",United States,Divorced,3,"Bachelor of Arts/Science, Bryn Mawr College",FALSE
Thomas Peterffy,25,United States,discount brokerage,65,76,"Palm Beach, Florida",United States,Divorced,3,"Drop Out, New York University",TRUE
Ken Griffin,16,United States,hedge funds,119,52,"Chicago, Illinois",United States,Divorced,3,"Bachelor of Arts/Science, Harvard University",TRUE
Aliko Dangote,11.5,Nigeria,"cement, sugar",191,64,"Lagos, Nigeria",Nigeria,Divorced,3,"Bachelor of Arts/Science, Al-Azhar University",TRUE
Mat Ishbia,9.7,United States,‰÷É,234,41,"Bloomfield Hills, Michigan",United States,Divorced,3,"Bachelor of Business Administration, Michigan State University",FALSE
Frederik Paulsen,7.7,Sweden,health care,323,70,"Lausanne, Switzerland",Sweden,Divorced,3,,FALSE
Johann Graf,7.1,Austria,gambling,358,74,"Vienna, Austria",Austria,Divorced,3,,TRUE
Neil Bluhm,5.7,United States,real estate,486,83,"Chicago, Illinois",United States,Divorced,3,"Doctor of Jurisprudence, Northwestern University; Bachelor of Arts/Science, University of Illinois, Urbana-Champaign",TRUE
Alceu Elias Feldmann,5.4,Brazil,fertilizer,520,71,"Curitiba, Brazil",Brazil,Divorced,3,,TRUE
"Henry Nicholas, III.",5.4,United States,semiconductors,520,61,"Newport Coast, California",United States,Divorced,3,"Bachelor of Arts/Science, University of California, Los Angeles; Doctorate, University of California, Los Angeles; Master of Science, University of California, Los Angeles",TRUE
Pierre Chen,5.1,Taiwan,electronics,550,64,"Taipei, Taiwan",Taiwan,Divorced,3,"Bachelor of Arts/Science, National Cheng Kung University",TRUE
David Rubenstein,3.7,United States,private equity,807,71,"Bethesda, Maryland",United States,Divorced,3,"Bachelor of Arts/Science, Duke University; Doctor of Jurisprudence, University of Chicago",TRUE
James Packer,3.2,Australia,casinos,956,53,"Los Angeles, California",Australia,Divorced,3,,FALSE
Zygmunt Solorz-Zak,3.2,Poland,TV broadcasting,956,64,"Warsaw, Poland",Poland,Divorced,3,,TRUE
James Irsay,3,United States,Indianapolis Colts,1008,61,"Carmel, Indiana",United States,Divorced,3,"Bachelor of Arts/Science, Southern Methodist University",FALSE
Pat Stryker,3,United States,medical equipment,1008,65,"Fort Collins, Colorado",United States,Divorced,3,"Drop Out, University of Northern Colorado",FALSE
Alexander Skorobogatko,2.9,Russia,"real estate, airport",1064,53,"Moscow, Russia",Russia,Divorced,3,"Master of Science, Plekhanov Russian University of Economics",TRUE
Alicia Koplowitz,2.8,Spain,"construction, investments",1111,67,"Madrid, Spain",Spain,Divorced,3,,FALSE
John Pritzker,2.5,United States,"hotels, investments",1249,67,"San Francisco, California",United States,Divorced,3,"Bachelor of Arts/Science, Menlo College",FALSE
Mustafa Rahmi Koc,2.3,Turkey,diversified,1362,90,"Istanbul, Turkey",Turkey,Divorced,3,"Bachelor of Arts/Science, Johns Hopkins University",FALSE
Gretel Packer,2.3,Australia,casinos,1362,55,"Sydney, Australia",Australia,Divorced,3,,FALSE
Isak Andic & family,2,Spain,fashion retail,1580,67,"Barcelona, Spain",Spain,Divorced,3,,TRUE
Jennifer Pritzker,2,United States,"hotels, investments",1580,70,"Chicago, Illinois",United States,Divorced,3,"Bachelor of Arts/Science, Loyola University Illinois",FALSE
Linda Pritzker,2,United States,"hotels, investments",1580,67,"Missoula, Montana",United States,Divorced,3,,FALSE
Thaksin Shinawatra,2,Thailand,investments,1580,71,"Dubai, United Arab Emirates",Thailand,Divorced,3,"Master of Science, Eastern Kentucky University",TRUE
Joao Alves de Queiroz Filho,1.9,Brazil,pharmaceuticals,1664,68,"SÌ£o Paulo, Brazil",Brazil,Divorced,3,"Bachelor of Arts/Science, Faculdade Dom Pedro II",TRUE
Sarah MacMillan,1.7,United States,Cargill,1833,67,"Los Angeles, California",United States,Divorced,3,,FALSE
William Boyd,1.6,United States,"casinos, banking",1931,89,"Las Vegas, Nevada",United States,Divorced,3,,FALSE
Hamdi Akin & family,1.5,Turkey,diversified,2035,66,"Istanbul, Turkey",Turkey,Divorced,3,,TRUE
Ron Burkle,1.5,United States,"supermarkets, investments",2035,68,"London, United Kingdom",United States,Divorced,3,"Diploma, High School",TRUE
Bill Gross,1.5,United States,investments,2035,77,"Laguna Beach, California",United States,Divorced,3,"Master of Business Administration, Anderson School of Management; Bachelor of Arts/Science, Duke University",TRUE
Mark Pincus,1.5,United States,online games,2035,55,"San Francisco, California",United States,Divorced,3,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, University of Pennsylvania",TRUE
Farkhad Akhmedov,1.4,Russia,investments,2141,65,"Moscow, Russia",Russia,Divorced,3,,TRUE
Darwin Deason,1.4,United States,software,2141,80,"Dallas, Texas",United States,Divorced,3,"Diploma, High School",TRUE
Pierre Karl PÌ©ladeau,2,Canada,media,1580,59,"Montreal, Canada",Canada,In Relationship,3,,FALSE
Chamath Palihapitiya,1.2,United States,‰÷É,2378,44,"Atherton, California",United States,In Relationship,3,"Bachelor of Engineering, University of Waterloo",TRUE
Sergey Brin,89,United States,Google,9,47,"Los Altos, California",United States,Married,3,"Master of Science, Stanford University; Bachelor of Arts/Science, University of Maryland, College Park",TRUE
Mukesh Ambani,84.5,India,diversified,10,64,"Mumbai, India",India,Married,3,"Drop Out, Stanford University; Bachelor of Science in Engineering, University of Mumbai",FALSE
Amancio Ortega,77,Spain,Zara,11,85,"La Coruna, Spain",Spain,Married,3,,TRUE
Steve Ballmer,68.7,United States,Microsoft,14,65,"Hunts Point, Washington",United States,Married,3,"Bachelor of Arts/Science, Harvard University; Drop Out, Stanford University",TRUE
Rob Walton,59.5,United States,Walmart,19,76,"Bentonville, Arkansas",United States,Married,3,"Doctor of Jurisprudence, Columbia University; Bachelor of Arts/Science, University of Arkansas",FALSE
Phil Knight & family,49.9,United States,Nike,25,83,"Hillsboro, Oregon",United States,Married,3,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, University of Oregon",TRUE
FranÌ¤ois Pinault & family,42.3,France,luxury goods,32,84,"Paris, France",France,Married,3,"Drop Out, High School",TRUE
He Xiangjian,37.7,China,home appliances,37,78,"Foshan, China",China,Married,3,,TRUE
Alain Wertheimer,34.5,France,Chanel,41,72,"New York, New York",France,Married,3,,FALSE
John Mars,31.3,United States,"candy, pet food",48,85,"Jackson, Wyoming",United States,Married,3,"Diploma, The Hotchkiss School; Bachelor of Arts/Science, Yale University",FALSE
Susanne Klatten,27.7,Germany,"BMW, pharmaceuticals",53,59,"Bad Homburg, Germany",Germany,Married,3,"Master of Business Administration, International Institute for Management and Development",FALSE
Vladimir Lisin,26.2,Russia,"steel, transport",59,65,"Moscow, Russia",Russia,Married,3,"Doctorate, Russian Academy of Economics; Bachelor of Arts/Science, Siberian Metallurgical Institute",TRUE
Jim Simons,24.6,United States,hedge funds,68,83,"East Setauket, New York",United States,Married,3,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Doctorate, University of California, Berkeley",TRUE
Gennady Timchenko,22,Russia,"oil, gas",78,68,"Moscow, Russia",Russia,Married,3,"Bachelor of Arts/Science, Leningrad Mechanical Institute",TRUE
Stephen Schwarzman,21.9,United States,investments,79,74,"New York, New York",United States,Married,3,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Yale University",TRUE
Pierre Omidyar,21.4,United States,"eBay, PayPal",83,53,"Honolulu, Hawaii",United States,Married,3,"Bachelor of Arts/Science, Tufts University",TRUE
Stefan Persson,21.3,Sweden,H&M,84,73,"Stockholm, Sweden",Sweden,Married,3,"Associate in Arts/Science, University of Stockholm",FALSE
R. Budi Hartono,20.5,Indonesia,"banking, tobacco",86,80,"Kudus, Indonesia",Indonesia,Married,3,,FALSE
Andrew Forrest,20.4,Australia,mining,87,59,"Perth, Australia",Australia,Married,3,"Bachelor of Arts/Science, University of Western Australia",TRUE
Peter Woo,18,Hong Kong,real estate,104,74,"Hong Kong, Hong Kong",Hong Kong,Married,3,"Master of Business Administration, Columbia Business School",FALSE
Reinhold Wuerth & family,16.8,Germany,fasteners,115,86,"Kuenzelsau, Germany",Germany,Married,3,,TRUE
Radhakishan Damani,16.5,India,"retail, investments",117,66,"Mumbai, India",India,Married,3,,TRUE
Suleiman Kerimov & family,15.8,Russia,investments,124,55,"Moscow, Russia",Russia,Married,3,"Bachelor of Arts/Science, Dagestan State University",TRUE
"Thomas Frist, Jr. & family",15.7,United States,hospitals,126,82,"Nashville, Tennessee",United States,Married,3,"Bachelor of Arts/Science, Vanderbilt University; Medical Doctor, Washington University",TRUE
Eric Yuan & family,14.9,United States,video conferencing,133,51,"Santa Clara, California",United States,Married,3,"Master of Engineering Management, China University of Mining and Technology; Bachelor of Engineering, Shandong Institute of Business and Technology",TRUE
David Tepper,14.5,United States,hedge funds,142,63,New Jersey,United States,Married,3,"Master of Business Administration, David A. Tepper School of Business; Bachelor of Arts/Science, University of Pittsburgh",TRUE
Kumar Birla,12.8,India,commodities,168,53,"Mumbai, India",India,Married,3,"Master of Business Administration, London Business School; Bachelor of Arts/Science, University of Bombay",FALSE
Joseph Tsai,11.6,Canada,e-commerce,189,57,"Hong Kong, Hong Kong",Canada,Married,3,"Bachelor of Arts/Science, Yale University; Doctor of Jurisprudence, Yale University",TRUE
